continent,location,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,population,handwashing_facilities
Asia,Afghanistan,155287,96,3898.213,2.41,35.19,39835428,37.746
,Africa,8344554,4713,6075.454,3.431,,1373486472,
Europe,Albania,171794,0,59797.406,0,,2872934,
Africa,Algeria,203915,126,4570.381,2.824,56.48,44616626,83.741
Europe,Andorra,15267,45,197365.359,581.741,,77354,
Africa,Angola,58943,0,1737.009,0,58.33,33933611,26.664
North America,Antigua and Barbuda,3503,0,35481.322,0,,98728,
South America,Argentina,5260719,981,115351.915,21.51,42.59,45605823,
Asia,Armenia,265317,627,89388.665,211.244,,2968128,94.043
North America,Aruba,,,,,19.91,107195,
,Asia,76347730,120901,16319.04,25.842,,4678444992,
Oceania,Australia,115800,2389,4490.423,92.639,71.76,25788217,
Europe,Austria,750229,1404,82961.741,155.257,51.85,9043072,
Asia,Azerbaijan,486378,391,47575.236,38.246,60.19,10223344,83.241
North America,Bahamas,21312,198,53694.251,498.849,54.17,396914,
Asia,Bahrain,275279,42,157455.693,24.023,39.35,1748295,
Asia,Bangladesh,1558758,794,9372.972,4.774,51.39,166303494,34.808
North America,Barbados,9205,413,31994.244,1435.483,67.59,287708,88.469
Europe,Belarus,545843,1867,57804.796,197.715,19.44,9442867,
Europe,Belgium,1251857,4660,107618.729,400.607,40.28,11632334,
North America,Belize,21422,419,52904.931,1034.785,56.48,404915,90.083
Africa,Benin,23890,0,1918.717,0,37.04,12451031,11.035
North America,Bermuda,,,,,56.48,62092,
Asia,Bhutan,2608,0,3344.018,0,61.11,779900,79.807
South America,Bolivia,501616,437,42391.508,36.931,31.02,11832936,25.383
Europe,Bosnia and Herzegovina,237017,1481,72627.54,453.813,,3263459,97.164
Africa,Botswana,179220,0,74760.975,0,62.04,2397240,
South America,Brazil,21478546,10425,100370.114,48.716,,213993441,
North America,British Virgin Islands,,,,,,30423,
Asia,Brunei,7904,578,17901.307,1309.078,79.63,441532,
