continent,location,total_cases,new_cases,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population
Asia,Afghanistan,53489,89,2.234,57.16,0.326,,,,,,,,39835428
,Africa,3056080,31638,23.035,52.939,0.432,,,,,,,,1373486472
Europe,Albania,63595,562,195.619,431.963,2.785,0,0,,,0,0,,2872934
Africa,Algeria,102144,231,5.177,62.914,0.09,,,,,,,,44616626
Europe,Andorra,8586,0,0,1098.844,0,,,,,,,,77354
Africa,Angola,18193,37,1.09,12.259,0,,,,,,,,33933611
North America,Antigua and Barbuda,176,7,70.902,50.644,0,,,,,,,,98728
South America,Argentina,1722217,7808,171.206,975.643,1.71,,,,,,,,45605823
Asia,Armenia,162131,337,113.54,986.817,2.358,,,,,,,,2968128
,Asia,21510828,76476,16.346,74.587,0.208,12306704,2869843,256023,115761,0.26,0.06,0.01,4678444992
Oceania,Australia,28614,19,0.737,35.249,0,,,,,,,,25788217
Europe,Austria,380722,1651,182.571,743.442,3.981,31212,31212,,2242,0.35,0.35,,9043072
Asia,Azerbaijan,224651,601,58.787,284.545,1.858,,,,,,,,10223344
North America,Bahamas,7969,0,0,440.902,0,,,,,,,,396914
Asia,Bahrain,95558,241,137.849,203.627,0.572,89250,89250,,5093,5.1,5.1,,1748295
Asia,Bangladesh,522453,1071,6.44,46.788,0.15,,,,,,,,166303494
North America,Barbados,878,70,243.302,24.33,0,,,,,,,,287708
Europe,Belarus,212201,1833,194.115,160.65,1.059,,,,,,,,9442867
Europe,Belgium,664263,1569,134.883,1726.051,3.439,28280,28266,146,429,0.24,0.24,0,11632334
North America,Belize,11303,37,91.377,676.685,7.409,,,,,,,,404915
Africa,Benin,3304,0,0,3.534,0,,,,,,,,12451031
North America,Bermuda,,,,,,0,0,,,0,0,,62092
Asia,Bhutan,813,3,3.847,1.282,0,,,,,,,,779900
South America,Bolivia,173896,1098,92.792,792.365,2.113,,,,,,,,11832936
Europe,Bosnia and Herzegovina,115633,254,77.832,1326.813,7.661,,,,,,,,3263459
Africa,Botswana,16050,0,0,20.023,0,,,,,,,,2397240
South America,Brazil,8105790,29792,139.219,949.095,2.192,,,,,,,,213993441
Asia,Brunei,173,0,0,6.795,0,,,,,,,,441532
Europe,Bulgaria,208511,105,15.225,1178.252,4.205,,,,,,,,6896655
Africa,Burkina Faso,8082,216,10.048,4.14,0,,,,,,,,21497097
Africa,Burundi,986,101,8.241,0.163,0,,,,,,,,12255429
Asia,Cambodia,391,0,0,,,,,,,,,,16946446
Africa,Cameroon,26848,0,0,16.456,0,,,,,,,,27224262
North America,Canada,666375,6728,176.737,448.514,2.364,319603,316661,2942,23362,0.84,0.83,0.01,38067913
Africa,Cape Verde,12392,76,135.255,202.883,0,,,,,,,,561901
North America,Cayman Islands,,,,,,,,,,,,,66498
Africa,Central African Republic,4973,4,0.813,12.805,0,,,,,,,,4919987
Africa,Chad,2537,27,1.596,6.326,0,,,,,,,,16914985
South America,Chile,641923,4181,217.62,889.844,3.071,10710,10710,,1,0.06,0.06,,19212362
Asia,China,87582,103,0.071,3.209,0,,,,,,,,1444216102
South America,Colombia,1786900,15537,303.067,899.507,6.437,,,,,,,,51265841
Africa,Comoros,1150,0,0,20.26,0,,,,,,,,888456
Africa,Congo,7127,0,0,19.091,0,,,,,,,,5657017
North America,Costa Rica,177614,0,0,448.526,0,,,,,,,,5139053
Africa,Cote d'Ivoire,23750,268,9.906,5.138,0,,,,,,,,27053629
Europe,Croatia,219993,646,158.269,1070.154,6.37,,,,,,,,4081657
North America,Cuba,14576,388,34.283,13.342,0.265,,,,,,,,11317498
