location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population
Africa,13/02/2020,,0,,0,,0,,0,1373486472
Africa,14/02/2020,1,1,,0,0.001,0.001,,0,1373486472
Africa,15/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,16/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,17/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,18/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,19/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,20/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,21/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,22/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,23/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,24/02/2020,1,0,,0,0.001,0,,0,1373486472
Africa,25/02/2020,2,1,,0,0.001,0.001,,0,1373486472
Africa,26/02/2020,2,0,,0,0.001,0,,0,1373486472
Africa,27/02/2020,2,0,,0,0.001,0,,0,1373486472
Africa,28/02/2020,3,1,,0,0.002,0.001,,0,1373486472
Africa,29/02/2020,3,0,,0,0.002,0,,0,1373486472
Africa,1/03/2020,4,1,,0,0.003,0.001,,0,1373486472
Africa,2/03/2020,8,4,,0,0.006,0.003,,0,1373486472
Africa,3/03/2020,11,3,,0,0.008,0.002,,0,1373486472
Africa,4/03/2020,21,10,,0,0.015,0.007,,0,1373486472
Africa,5/03/2020,24,3,,0,0.017,0.002,,0,1373486472
Africa,6/03/2020,43,19,,0,0.031,0.014,,0,1373486472
Africa,7/03/2020,43,0,,0,0.031,0,,0,1373486472
Africa,8/03/2020,83,40,1,1,0.06,0.029,0.001,0.001,1373486472
Africa,9/03/2020,91,8,1,0,0.066,0.006,0.001,0,1373486472
Africa,10/03/2020,104,13,2,1,0.076,0.009,0.001,0.001,1373486472
Africa,11/03/2020,118,14,2,0,0.086,0.01,0.001,0,1373486472
Africa,12/03/2020,134,16,3,1,0.098,0.012,0.002,0.001,1373486472
Africa,13/03/2020,176,42,6,3,0.128,0.031,0.004,0.002,1373486472
Africa,14/03/2020,252,76,7,1,0.183,0.055,0.005,0.001,1373486472
Africa,15/03/2020,317,65,8,1,0.231,0.047,0.006,0.001,1373486472
Africa,16/03/2020,404,87,8,0,0.294,0.063,0.006,0,1373486472
Africa,17/03/2020,492,88,11,3,0.358,0.064,0.008,0.002,1373486472
Africa,18/03/2020,610,118,17,6,0.444,0.086,0.012,0.004,1373486472
Africa,19/03/2020,788,178,20,3,0.574,0.13,0.015,0.002,1373486472
Africa,20/03/2020,975,187,26,6,0.71,0.136,0.019,0.004,1373486472
Africa,21/03/2020,1172,197,36,10,0.853,0.143,0.026,0.007,1373486472
Africa,22/03/2020,1437,265,48,12,1.046,0.193,0.035,0.009,1373486472
Africa,23/03/2020,1818,381,57,9,1.324,0.277,0.042,0.007,1373486472
Africa,24/03/2020,2250,432,64,7,1.638,0.315,0.047,0.005,1373486472
Africa,25/03/2020,2773,523,73,9,2.019,0.381,0.053,0.007,1373486472
Africa,26/03/2020,3326,553,91,18,2.422,0.403,0.066,0.013,1373486472
Africa,27/03/2020,3885,559,115,24,2.829,0.407,0.084,0.017,1373486472
Africa,28/03/2020,4224,339,134,19,3.075,0.247,0.098,0.014,1373486472
Africa,29/03/2020,4785,561,152,18,3.484,0.408,0.111,0.013,1373486472
Africa,30/03/2020,5196,411,173,21,3.783,0.299,0.126,0.015,1373486472
Africa,31/03/2020,5779,583,200,27,4.208,0.424,0.146,0.02,1373486472
Africa,1/04/2020,6378,599,234,34,4.644,0.436,0.17,0.025,1373486472
Africa,2/04/2020,7031,653,287,53,5.119,0.475,0.209,0.039,1373486472
Africa,3/04/2020,7912,881,331,44,5.761,0.641,0.241,0.032,1373486472
Africa,4/04/2020,8589,677,382,51,6.253,0.493,0.278,0.037,1373486472
Africa,5/04/2020,9295,706,442,60,6.767,0.514,0.322,0.044,1373486472
Africa,6/04/2020,9997,702,487,45,7.279,0.511,0.355,0.033,1373486472
Africa,7/04/2020,10632,635,533,46,7.741,0.462,0.388,0.033,1373486472
Africa,8/04/2020,11419,787,573,40,8.314,0.573,0.417,0.029,1373486472
Africa,9/04/2020,12248,829,627,54,8.917,0.604,0.457,0.039,1373486472
Africa,10/04/2020,12905,657,692,65,9.396,0.478,0.504,0.047,1373486472
Africa,11/04/2020,13616,711,742,50,9.913,0.518,0.54,0.036,1373486472
Africa,12/04/2020,14489,873,788,46,10.549,0.636,0.574,0.033,1373486472
Africa,13/04/2020,15256,767,833,45,11.107,0.558,0.606,0.033,1373486472
Africa,14/04/2020,16227,971,873,40,11.814,0.707,0.636,0.029,1373486472
Africa,15/04/2020,17192,965,910,37,12.517,0.703,0.663,0.027,1373486472
Africa,16/04/2020,18360,1168,965,55,13.367,0.85,0.703,0.04,1373486472
Africa,17/04/2020,19763,1403,1015,50,14.389,1.021,0.739,0.036,1373486472
Africa,18/04/2020,21072,1309,1058,43,15.342,0.953,0.77,0.031,1373486472
Africa,19/04/2020,22271,1199,1120,62,16.215,0.873,0.815,0.045,1373486472
Africa,20/04/2020,23431,1160,1159,39,17.06,0.845,0.844,0.028,1373486472
Africa,21/04/2020,24507,1076,1189,30,17.843,0.783,0.866,0.022,1373486472
Africa,22/04/2020,25911,1404,1240,51,18.865,1.022,0.903,0.037,1373486472
Africa,23/04/2020,27349,1438,1297,57,19.912,1.047,0.944,0.042,1373486472
Africa,24/04/2020,29052,1703,1324,27,21.152,1.24,0.964,0.02,1373486472
Africa,25/04/2020,30296,1244,1372,48,22.058,0.906,0.999,0.035,1373486472
Africa,26/04/2020,31829,1533,1422,50,23.174,1.116,1.035,0.036,1373486472
Africa,27/04/2020,33167,1338,1462,40,24.148,0.974,1.064,0.029,1373486472
Africa,28/04/2020,34786,1619,1523,61,25.327,1.179,1.109,0.044,1373486472
Africa,29/04/2020,36807,2021,1588,65,26.798,1.471,1.156,0.047,1373486472
Africa,30/04/2020,38753,1946,1634,46,28.215,1.417,1.19,0.033,1373486472
Africa,1/05/2020,40468,1715,1690,56,29.464,1.249,1.23,0.041,1373486472
