location,total_vaccinations,population
Afghanistan,,39835428
Africa,166178066,1373486472
Albania,,2872934
Algeria,14082920,44616626
Andorra,,77354
Angola,,33933611
Antigua and Barbuda,,98728
Argentina,53980661,45605823
Armenia,,2968128
Aruba,157541,107195
Asia,4411927474,4678444992
Australia,30706847,25788217
Austria,10953815,9043072
Azerbaijan,8996778,10223344
Bahamas,,396914
Bahrain,2660632,1748295
Bangladesh,54191063,166303494
Barbados,254344,287708
Belarus,,9442867
Belgium,16713834,11632334
Belize,,404915
Benin,,12451031
Bhutan,1087753,779900
Bolivia,,11832936
Bosnia and Herzegovina,,3263459
Botswana,,2397240
Brazil,249340259,213993441
Brunei,542019,441532
Bulgaria,2588714,6896655
Burkina Faso,,21497097
Burundi,,12255429
Cambodia,24861031,16946446
Cameroon,476512,27224262
Canada,57069440,38067913
Cape Verde,,561901
Cayman Islands,,66498
Central African Republic,,4919987
Chad,,16914985
Chile,33392873,19212362
China,2221245000,1444216102
Colombia,43007509,51265841
Comoros,,888456
Congo,,5657017
Costa Rica,,5139053
Cote d'Ivoire,,27053629
Croatia,3486793,4081657
Cuba,22982472,11317498
Curacao,188871,164796
Cyprus,1182072,896005
Czechia,11869796,10724553
Democratic Republic of Congo,,92377986
Denmark,8804552,5813302
Djibouti,,1002197
Dominica,,72172
Dominican Republic,12125221,10953714
Ecuador,21165186,17888474
Egypt,,104258327
El Salvador,7947486,6518500
Equatorial Guinea,,1449891
Eritrea,,3601462
Estonia,1388942,1325188
Eswatini,258552,1172369
Ethiopia,3879071,117876226
Europe,815547969,748962983
European Union,574645842,447189915
Faeroe Islands,75390,49053
Fiji,,902899
Finland,7786863,5548361
France,96314226,67564251
French Polynesia,,282534
Gabon,,2278829
Gambia,,2486937
Georgia,1874845,3979773
Germany,109065234,83900471
Ghana,,31732128
Gibraltar,,33691
Greece,12298000,10370747
Greenland,76319,56868
Grenada,,113015
Guatemala,7650606,18249868
Guernsey,,67052
Guinea,1902897,13497237
Guinea-Bissau,,2015490
Guyana,,790329
Haiti,96073,11541683
Honduras,,10062994
Hong Kong,8819936,7552800
Hungary,,9634162
Iceland,,343360
India,951139832,1393409033
Indonesia,157711272,276361788
International,,
Iran,64401471,85028760
Iraq,,41179351
Ireland,7262780,4982904
Isle of Man,129494,85410
Israel,15626922,8789776
Italy,86321768,60367471
Jamaica,836309,2973462
Japan,174631850,126050796
Jersey,,101073
Jordan,,10269022
Kazakhstan,14734747,18994958
Kenya,4111317,54985702
Kiribati,,121388
Kosovo,1447040,1775378
Kuwait,,4328553
Kyrgyzstan,1534397,6628347
Laos,,7379358
Latvia,1701165,1866934
Lebanon,3026121,6769151
Lesotho,383341,2159067
Liberia,,5180208
Libya,,6958538
Liechtenstein,47078,38254
Lithuania,3273952,2689862
Luxembourg,799074,634814
Madagascar,,28427333
Malawi,1115091,19647681
Malaysia,45650714,32776195
Maldives,739914,543620
Mali,413563,20855724
Malta,840675,514564
Marshall Islands,,59618
Mauritania,,4775110
Mauritius,,1273428
Mexico,107381477,130262220
Micronesia (country),,116255
Moldova,1437198,4024025
Monaco,,39520
Mongolia,4386477,3329282
Montenegro,473328,628051
Morocco,,37344787
Mozambique,,32163045
Myanmar,,54806014
Namibia,472404,2587344
Nepal,14653146,29674920
Netherlands,,17173094
New Caledonia,,288217
New Zealand,5833354,4860642
Nicaragua,,6702379
Niger,646086,25130810
Nigeria,,211400704
North America,638909010,596581283
North Macedonia,1544531,2082661
Norway,7876188,5465629
Oceania,38896244,43219954
Oman,,5223376
Pakistan,,225199929
Palau,,18174
Palestine,2301812,5222756
Panama,5265750,4381583
Papua New Guinea,,9119005
Paraguay,,7219641
Peru,30010022,33359415
Philippines,49673491,111046910
Poland,37666261,37797000
Portugal,,10167923
Qatar,4767210,2930524
Romania,10763280,19127772
Russia,94491689,145912022
Rwanda,3888869,13276517
Saint Kitts and Nevis,,53546
Saint Lucia,,184401
Saint Vincent and the Grenadines,,111269
Samoa,,200144
San Marino,,34010
Sao Tome and Principe,,223364
Saudi Arabia,43615548,35340680
Senegal,,17196308
Serbia,,6908224
Seychelles,,98910
Sierra Leone,,8141343
Singapore,9670942,5896684
Slovakia,4743633,5460726
Slovenia,2175259,2078723
Solomon Islands,,703995
Somalia,,16359500
South Africa,,60041996
South America,466198539,434260137
South Korea,68922688,51305184
South Sudan,,11381377
Spain,70822813,46745211
Sri Lanka,27058302,21497306
Sudan,1499982,44909351
Suriname,417831,591798
Sweden,13965508,10160159
Switzerland,10665691,8715494
Syria,,18275704
Taiwan,,23855008
Tajikistan,,9749625
Tanzania,595938,61498438
Thailand,59539624,69950844
Timor,,1343875
Togo,,8478242
Tokelau,,1368
Trinidad and Tobago,1143228,1403374
Tunisia,8471643,11935764
Turkey,112360409,85042736
Uganda,,47123533
Ukraine,13683903,43466822
United Arab Emirates,20479211,9991083
United Kingdom,94376101,68207114
United States of America,401819240,332915074
Uruguay,6397739,3485152
Uzbekistan,,33935765
Vanuatu,,314464
Vatican,,812
Venezuela,,28704947
Vietnam,54279564,98168829
Wallis and Futuna,,11094
World,6537657302,7874965730
Yemen,,30490639
Zambia,,18920657
Zimbabwe,5581524,15092171
